feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
tet.Q.	timepoint	after	-0.294796132557764	0.0661845065362474	12	12	0.00122720622507938	0.00736323735047629
Bifidobacterium.adolescentis.rpoB.mutants.conferring.resistance.to.rifampicin	timepoint	after	1.29511214847043	0.373912434371398	12	8	0.0179710783498908	0.0359953658211872
CfxA6	timepoint	after	-1.76929257510537	0.548368468816181	12	5	0.0179976829105936	0.0359953658211872
tet.40.	timepoint	after	-0.769132420592518	0.287579561760255	12	10	0.0441097129399104	0.0661645694098656
Mef.En2.	timepoint	after	0.86564530445241	0.372587096418003	12	10	0.0677712670155406	0.0813255204186488
tet.O.	timepoint	after	0.372478445161136	0.23751168844344	12	2	0.167855248214045	0.167855248214045
