"sample","mouse","treatment","timepoint","aro_term","amr_gene_family","drug_class","resistance_mechanism","tpm"
"bc355","355","control","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",10843.9128192076
"bc355","355","control","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",889928.918921298
"bc355","355","control","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",78812.0092395982
"bc355","355","control","before","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",20415.1590198959
"bc356","356","control","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",6400.2490637023
"bc356","356","control","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",948240.771875383
"bc356","356","control","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",45358.9790609151
"bd363","363","doxil","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",16583.8664984458
"bd363","363","doxil","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",808725.103553419
"bd363","363","doxil","before","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",12022.7849655451
"bd363","363","doxil","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",18804.9495140586
"bd363","363","doxil","before","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",143863.295468531
"bd364","364","doxil","before","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",8136.40658134542
"bd364","364","doxil","before","tet(32)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",5034.40157220748
"bd364","364","doxil","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",955771.192097505
