"taxon","(Intercept).x","qval","treat","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","genus","label","direction"
"ASV214",5.69597788558051e-38,3.5825014313722e-49,"Vancomycin",2.87789690013974,-3.32483671818623,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum","Faecalibaculum","Untreated"
"ASV177",8.89198325421802e-187,1.75848461969155e-216,"Vancomycin",2.09110717302851,-2.538046991075,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium","Untreated"
"ASV169",4.61847107794032e-10,3.95578107477478e-16,"Vancomycin",1.52725200578603,-1.97419182383252,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobiaceae_unknown","Atopobiaceae unknown","Untreated"
"ASV57",1,1,"Vancomycin",-0.182796203306463,0.778843536781768,"Bacteria","Firmicutes","Clostridia","Clostridia.vadinBB60.group","Clostridia.vadinBB60.group_unknown","Clostridia.vadinBB60.group_unknown",NA,"No change"
"ASV211",8.67213203090234e-07,1,"Vancomycin",-0.541148097152073,0.0942082791055816,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Candidatus.Arthromitus",NA,"No change"
"ASV63",0.33539900851568,1,"Vancomycin",-0.460055075530441,0.0131152574839487,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_unknown",NA,"No change"
"ASV141",1,0.598860758409842,"Vancomycin",0.585809823481777,-1.03274964152827,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",NA,"No change"
"ASV163",3.02900974005453e-16,1.95345415911847e-26,"Vancomycin",1.41758644015371,-1.8645262582002,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia","Untreated"
"ASV100",2.12037279072688e-40,2.14601811199959e-10,"Vancomycin",4.32750231574823,-3.44883385855882,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group","Lachnospiraceae.NK4A136.group","Untreated"
"ASV127",4.38491744131929e-124,1,"Vancomycin",4.55148166148744,-0.341956534009426,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown",NA,"No change"
