"drug_class","metadata","value","coef","stderr","N","N.not.0","pval","qval","treatment","log2fc"
"rifamycin antibiotic","timepoint","after",1.71800482367486,0.631830035495837,12,7,0.0215939089744208,0.129563453846525,"doxil",2.47855703933904
"tetracycline antibiotic","timepoint","after",-0.433228640803899,0.194915221294227,12,12,0.076871637438872,0.230614912316616,"doxil",-0.625016811658851
"lincosamide antibiotic","timepoint","after",-0.523284351558947,0.378963816140562,12,11,0.225862811414012,0.271035373696814,"doxil",-0.75493973896889
"macrolide antibiotic","timepoint","after",-0.523284351558947,0.378963816140562,12,11,0.225862811414012,0.271035373696814,"doxil",-0.75493973896889
"glycopeptide antibiotic","timepoint","after",-0.533846360847462,0.371644405259579,12,2,0.202552329088768,0.271035373696814,"doxil",-0.770177497391253
"cephalosporin","timepoint","after",0.067670746675707,0.770553658970193,12,10,0.93175276216096,0.93175276216096,"doxil",0.0976282506422957
