"resistance_mechanism","metadata","value","coef","stderr","N","N.not.0","pval","qval","treatment","log2fc"
"antibiotic target alteration","timepoint","after",2.18509382326659,0.836540280321046,12,5,0.0475513037541977,0.0852248549299926,"metro",3.15242402270381
"antibiotic target protection","timepoint","after",-0.270142255086772,0.0966257993071582,12,12,0.0381843743218238,0.0852248549299926,"metro",-0.389732891748247
"antibiotic target replacement","timepoint","after",2.16259474788017,0.889800921085646,12,4,0.0511349129579956,0.0852248549299926,"metro",3.11996471821924
"antibiotic inactivation","timepoint","after",-1.17197551394504,0.717257814358089,12,7,0.133313305745058,0.166641632181322,"metro",-1.6908032620118
"antibiotic efflux","timepoint","after",0.575227271931934,0.445146979138226,12,12,0.252778139035204,0.252778139035204,"metro",0.829877532600288
