"drug_class","metadata","value","coef","stderr","N","N.not.0","pval","qval","treatment","log2fc"
"lincosamide antibiotic","timepoint","after",1.2854000186874,0.629954739600722,12,12,0.0968115158724056,0.145217273808608,"metro",1.85444023251889
"macrolide antibiotic","timepoint","after",1.2854000186874,0.629954739600722,12,12,0.0968115158724056,0.145217273808608,"metro",1.85444023251889
"rifamycin antibiotic","timepoint","after",2.16259474788017,0.889800921085646,12,4,0.0511349129579956,0.145217273808608,"metro",3.11996471821924
"tetracycline antibiotic","timepoint","after",-0.288197177885631,0.0961548608209268,12,12,0.0301956009111603,0.145217273808608,"metro",-0.415780639333794
"cephalosporin","timepoint","after",-1.17197551394504,0.717257814358089,12,7,0.133313305745058,0.159975966894069,"metro",-1.6908032620118
"glycopeptide antibiotic","timepoint","after",0.396595460602488,0.581358818173623,12,3,0.525434658744462,0.525434658744462,"metro",0.572166304250284
