"drug_class","metadata","value","coef","stderr","N","N.not.0","pval","qval","treatment","log2fc"
"tetracycline antibiotic","timepoint","after",-0.286230696571546,0.0600152872952091,12,12,0.00075785092747838,0.00378925463739191,"control",-0.412943606493963
"rifamycin antibiotic","timepoint","after",1.29511214847042,0.373912434371828,12,8,0.0179710783491486,0.0299871592059465,"control",1.86845187399333
"cephalosporin","timepoint","after",-1.76929257510538,0.548368468820724,12,5,0.0179922955235679,0.0299871592059465,"control",-2.5525496239862
"lincosamide antibiotic","timepoint","after",0.893979436102807,0.380286582418924,12,10,0.0654946453027991,0.0654946453027991,"control",1.28973969912223
"macrolide antibiotic","timepoint","after",0.932634772489562,0.393847292677375,12,10,0.0641106119814177,0.0654946453027991,"control",1.3455075612313
