"resistance_mechanism","metadata","value","coef","stderr","N","N.not.0","pval","qval","treatment","log2fc"
"antibiotic target protection","timepoint","after",-0.266860198364559,0.0630443127135948,12,12,0.00173581175464253,0.00867905877321264,"control",-0.384997884791194
"antibiotic target alteration","timepoint","after",1.15838839560064,0.319215573545768,12,8,0.0150785981479375,0.0224903694044599,"control",1.67120119375637
"antibiotic target replacement","timepoint","after",1.29511214847042,0.373912434371828,12,8,0.0179710783491486,0.0224903694044599,"control",1.86845187399333
"antibiotic inactivation","timepoint","after",-1.76929257510538,0.548368468820724,12,5,0.0179922955235679,0.0224903694044599,"control",-2.5525496239862
"antibiotic efflux","timepoint","after",0.778933290660457,0.337998777476636,12,12,0.0693778206275088,0.0693778206275088,"control",1.12376319561916
