"taxon","(Intercept).x","qval","treatment","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","Genus","species","label","direction"
"41505",1,1,"metro",-2.34084111721816,-1.22947445752179,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_unclassified","f__Clostridia_unclassified","LKT_f__Clostridia_unclassified","LKT_f__Clostridia_unclassified",NA,"No change"
"41521",1,1,"metro",-2.6113570923356,0.940509964594904,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_unclassified_SGB41521",NA,"No change"
"41518",2.1150878684271e-82,1,"metro",5.04392281262246,0.131920410441557,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","LKT_f__Clostridiaceae","LKT_f__Clostridiaceae",NA,"No change"
"29418",8.43260801848419e-07,1,"metro",-3.77974777565187,1.99179177827132,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_1XD42_54",NA,"No change"
"63370",0.536101333011257,1,"metro",-2.49950693527566,-1.62047052921979,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Christensenellaceae","LKT_f__Christensenellaceae","LKT_f__Christensenellaceae",NA,"No change"
"41020",1,1,"metro",-1.91786059370657,-0.95174632450808,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Pumilibacteraceae","g__Pumilibacter","s__Pumilibacter_sp_CLA_AA_M10",NA,"No change"
"41021",0.00451485758877759,0.807718983105284,"metro",-3.03294727190942,-2.1969125125333,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Pumilibacteraceae","g__Pumilibacter","s__Pumilibacter_sp_CLA_AA_M08",NA,"No change"
"41011",0.60695766034218,1,"metro",-2.73045778292754,-2.49940200151518,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Pumilibacteraceae","LKT_f__Pumilibacteraceae","LKT_f__Pumilibacteraceae",NA,"No change"
"41016",1,1,"metro",-2.12216966949239,3.00564147502764,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Pumilibacteraceae","g__Anaerocaecibacter","s__Anaerocaecibacter_sp_CLA_AA_M11",NA,"No change"
"40989",1.63474145808341e-308,1,"metro",7.07447667671175,-0.795874586458664,"k__Bacteria","p__Firmicutes","LKT_p__Firmicutes","LKT_p__Firmicutes","LKT_p__Firmicutes","LKT_p__Firmicutes","LKT_p__Firmicutes",NA,"No change"
"43247",1,1,"metro",1.10474207105491,-2.15561830936857,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Eubacteriales_unclassified","LKT_f__Eubacteriales_unclassified","LKT_f__Eubacteriales_unclassified",NA,"No change"
"43075",0.222158615172531,1,"metro",3.22604866894802,-0.215335702286451,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridiaceae_unclassified","s__Clostridiaceae_bacterium",NA,"No change"
"43539",1,1,"metro",-1.38987354028683,1.10284309831202,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB43539",NA,"No change"
"43544",1,1,"metro",1.07371241761181,-4.77634660526256,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB43544",NA,"No change"
"43541",0.551766929215316,1,"metro",2.69914964880875,-0.516058573321097,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB43541",NA,"No change"
"43542",1,0.593701015556774,"metro",-1.25571470817483,-3.97414507626789,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB43542",NA,"No change"
"63211",3.048748579477e-49,1,"metro",4.12158823940315,0.809858331273318,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB63211",NA,"No change"
"102200",1,1,"metro",-0.803535121573119,2.35496180183174,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB102200",NA,"No change"
"43546",1,1,"metro",-0.422874368087813,-2.94031975664407,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__Bacteria_unclassified_SGB43546",NA,"No change"
"43521",0,1,"metro",8.14917549500413,-0.342673869391496,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","LKT_f__Oscillospiraceae","LKT_f__Oscillospiraceae",NA,"No change"
"43496",0.150195494797428,0.0903070833355289,"metro",3.65175376388643,-6.29472774507378,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillibacter","s__Oscillibacter_SGB43496",NA,"No change"
"94989",0.000115494300684873,1,"metro",-3.81619597581267,2.66563628195662,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB94989",NA,"No change"
"43504",7.4984088380094e-115,1,"metro",4.44492494423123,-0.26853061552112,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_bacterium",NA,"No change"
"63230",1,0.00409639966141352,"metro",0.0408732193786472,-5.27073300382137,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB63230"," Oscillospiraceae unclassified SGB63230","Before"
"43502",0.60695766034218,1,"metro",3.7381162610161,-2.79102712842545,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB43502",NA,"No change"
"43505",0.408146434660694,1,"metro",-2.60606983955358,-1.85133511351754,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillospiraceae_unclassified","s__Oscillospiraceae_unclassified_SGB43505",NA,"No change"
"59899",1,1,"metro",1.55433261671622,-3.1871569802394,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Eubacteriales_unclassified","g__Eubacteriales_unclassified","s__Clostridiales_bacterium",NA,"No change"
"43257",1,1,"metro",-1.19407209157616,-1.47488360035286,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Neglectibacter","s__Neglectibacter_sp_X4",NA,"No change"
"43258",0.00232589044353224,4.13374460093863e-12,"metro",-3.69650583215487,7.65767261761665,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_D16_76"," bacterium D16 76","After"
"7269",1,0.0027287168021953,"metro",1.32246465604372,-6.55232444048644,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Acutalibacter","s__Acutalibacter_muris"," Acutalibacter muris","Before"
"29420",0.0913918945331525,1,"metro",-3.45618699453793,0.445001837084347,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_1XD42_1",NA,"No change"
"43003",0.170250106301813,1.0287308659174e-09,"metro",3.63317214963887,-8.86303193408159,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Anaerotruncus","s__Anaerotruncus_sp_1XD42_93"," Anaerotruncus sp 1XD42 93","Before"
"102608",0.000105825562103016,1,"metro",1.51839056940154,0.911189506401648,"k__Bacteria","p__Candidatus_Saccharibacteria","LKT_p__Candidatus_Saccharibacteria","LKT_p__Candidatus_Saccharibacteria","LKT_p__Candidatus_Saccharibacteria","LKT_p__Candidatus_Saccharibacteria","LKT_p__Candidatus_Saccharibacteria",NA,"No change"
"9226",1,1,"metro",-1.02731838489375,6.21207427674086,"k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","s__Akkermansia_muciniphila",NA,"No change"
"35895",1.11965364796162e-56,0.132740284378739,"metro",6.87620995217671,-6.70240601448817,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__Alistipes_sp_DSM_112343",NA,"No change"
"40192",5.15818317737075e-30,1,"metro",7.49154874882939,-2.16822420017696,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","LKT_f__Rikenellaceae","LKT_f__Rikenellaceae",NA,"No change"
"35575",7.54572998106105e-17,1,"metro",6.64640296948025,0.174044400378204,"k__Bacteria","p__Bacteroidota","LKT_p__Bacteroidota","LKT_p__Bacteroidota","LKT_p__Bacteroidota","LKT_p__Bacteroidota","LKT_p__Bacteroidota",NA,"No change"
"27780",1,1,"metro",2.1671966125342,3.19228215026811,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_distasonis",NA,"No change"
"40800",1,0.16834141825361,"metro",0.386719502328282,4.32291954949742,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__Parabacteroides_SGB40800",NA,"No change"
"27761",7.99045073544121e-40,1,"metro",9.37106204194308,-0.171068140814859,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidales_unclassified","g__Bacteroidales_unclassified","s__Bacteroidales_bacterium",NA,"No change"
"27763",4.83401623847896e-80,1,"metro",8.47240975917151,0.26248928857323,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae_unclassified","s__Muribaculaceae_bacterium",NA,"No change"
"2088",9.03539722068517e-91,1,"metro",7.69551938861311,-1.25498862950241,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculum","s__Muribaculum_intestinale",NA,"No change"
"2087",1.07021743946225e-85,1,"metro",8.78462549922149,-0.534015160530899,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculum","s__Muribaculum_gordoncarteri",NA,"No change"
"27768",1.00363833770132e-50,1,"metro",5.01044213750615,0.268673523120341,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Duncaniella","s__Duncaniella_freteri",NA,"No change"
"40333",1.1828322939539e-116,1,"metro",10.3265996499915,-0.746210309660777,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","LKT_f__Muribaculaceae","LKT_f__Muribaculaceae",NA,"No change"
"2089",6.00363701474214e-53,1,"metro",7.41837594868846,-1.53360297684052,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Duncaniella","s__Duncaniella_dubosii",NA,"No change"
"21446",2.35662024690088e-61,1,"metro",7.85006448297464,-0.973772488053454,"k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Duncaniella","s__Duncaniella_muris",NA,"No change"
