"","metadata","value","coef","stderr","N","N.not.0","pval","qval","treatment","aro_term","amr_gene_family","drug_class","resistance_mechanism","log2fc"
"28","timepoint","after",1.34461673982441,1.10245491090293,12,11,0.250579632518244,0.375092124398393,"metro+doxil","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",1.93987190244096
"29","timepoint","after",-0.700629140524356,0.629614331428381,12,5,0.291832466174612,0.375092124398393,"metro+doxil","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",-1.01079418653679
"30","timepoint","after",0.829317865691493,0.717670043465276,12,9,0.300073699518714,0.375092124398393,"metro+doxil","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",1.19645277215374
"31","timepoint","after",0.827560711442364,0.769199278344542,12,10,0.307255469854857,0.375534463155936,"doxil","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",1.19391773443244
"32","timepoint","after",0.724113853597402,0.80331517902545,12,6,0.38856633375882,0.427422967134703,"doxil","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",1.04467546562397
"33","timepoint","after",0.436104553570952,0.677127070482334,12,10,0.534034772937863,0.534034772937863,"doxil","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",0.629165876745908
"34","timepoint","after",-0.285098341318429,0.408809016351036,12,4,0.516648734440813,0.63145956431655,"metro","tet(W)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",-0.411309963185766
"35","timepoint","after",-0.402480194984003,0.872154525534419,12,5,0.663746383409502,0.737495981566114,"metro+doxil","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",-0.580656181359444
"36","timepoint","after",-0.356548835717793,0.803918333547675,12,6,0.675927979848618,0.742449526138902,"metro","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",-0.514391237124794
"37","timepoint","after",0.197389346172291,0.568220973930641,12,3,0.742449526138902,0.742449526138902,"metro","vanR gene in vanG cluster","glycopeptide resistance gene cluster; vanR","glycopeptide antibiotic","antibiotic target alteration",0.284772630847079
"38","timepoint","after",0.0975214107214223,0.750414195424283,12,9,0.899177568577496,0.899177568577496,"metro+doxil","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",0.140693655628292
