feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
antibiotic.target.alteration	timepoint	after	2.19229726473003	0.854274964137806	12	8	0.0502625900609746	0.0837709834349576
antibiotic.target.protection	timepoint	after	-0.460365587413359	0.175649038999115	12	12	0.0470443824475482	0.0837709834349576
antibiotic.target.replacement	timepoint	after	1.71800482367486	0.631830035495837	12	7	0.0215939089744208	0.0837709834349576
antibiotic.efflux	timepoint	after	-0.00341152998204564	0.461519015452847	12	12	0.994247510607182	0.994247510607182
antibiotic.inactivation	timepoint	after	0.067670746675707	0.770553658970193	12	10	0.93175276216096	0.994247510607182
