feature	Bifidobacterium.adolescentis.rpoB.mutants.conferring.resistance.to.rifampicin	tet.Q.	CfxA6	tet.40.	tet.O.	Mef.En2.	tet.W.32.O.	tet.W.	CblA.1	vanR.gene.in.vanG.cluster	vanS.gene.in.vanG.cluster
bm357	13.3036196720427	19.7383983483856	10.5341952301872	10.963349582079	10.8067785114521	16.9352392277412	11.4286895845999	11.2411576549375	10.8875606186758	11.6500558434325	11.0052218867339
am357	14.3036196720427	19.4852957086735	10.5341952301872	12.6297466235156	11.8067785114521	17.8175049180452	11.4286895845999	12.2662101300894	10.8875606186758	11.6500558434325	11.0052218867339
bm358	13.3036196720427	19.5353698537827	14.7540898713941	15.3447671010548	16.5119029528489	13.777637893421	12.4286895845999	13.0136520853211	10.8875606186758	11.6500558434325	11.0052218867339
am358	13.3036196720427	19.679367108955	10.5341952301872	13.5860784701962	13.7106429382387	16.986381400106	11.4286895845999	12.2411576549375	10.8875606186758	11.6500558434325	11.0052218867339
bm359	13.3036196720427	19.3212294286163	13.7819606014911	15.990615389101	17.1358058105689	14.9209858409379	13.5720375321169	13.2043057476164	10.8875606186758	11.6500558434325	11.0052218867339
am359	13.3036196720427	19.6072627540616	10.5341952301872	15.311359814983	14.5953854486355	16.9659945403111	12.9446208895186	11.2411576549375	10.8875606186758	11.6500558434325	11.0052218867339
bm360	13.3036196720427	19.8627858550396	14.2108366153889	13.123441939937	10.8067785114521	14.1885809478027	11.4286895845999	11.2411576549375	10.8875606186758	11.6500558434325	11.0052218867339
am360	16.9830601688484	19.6150659067942	10.5341952301872	10.963349582079	13.009165873689	15.6946890533619	11.4286895845999	11.2411576549375	12.5895278449108	11.6500558434325	11.0052218867339
bm361	13.3036196720427	19.8396806350771	14.9425840973766	13.2861684650726	10.8067785114521	14.3040017581599	11.4286895845999	11.2411576549375	10.8875606186758	11.6500558434325	11.0052218867339
am361	16.2550977340805	19.6162610518045	11.5341952301872	12.2909757503379	10.8067785114521	15.8039748737957	11.4286895845999	11.2411576549375	11.8875606186758	14.389161691557	13.1891125775314
bm362	13.3036196720427	19.7638342470473	10.5341952301872	14.4185836796189	10.8067785114521	16.0738468933215	11.4286895845999	11.2411576549375	10.8875606186758	14.2048256145233	11.0052218867339
am362	18.6482696004803	19.0296241998046	11.6722326342771	11.963349582079	10.8067785114521	14.6441478878887	11.4286895845999	11.2411576549375	13.3690058450635	12.6500558434325	12.0052218867339
