clade	ac351	ac352	ac353	ac354	ac355	ac356	ad363	ad364	ad365	ad366	ad367	ad368	am357	am358	am359	am360	am361	am362	amd782	amd783	amd784	amd785	amd786	amd787	bc351	bc352	bc353	bc354	bc355	bc356	bd363	bd364	bd365	bd366	bd367	bd368	bm357	bm358	bm359	bm360	bm361	bm362	bmd782	bmd783	bmd784	bmd785	bmd786	bmd787
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28893	8053	0	1474	2222	6202	0	27834	4108	22526	6737	22461	0	485	0	0	40481	0	0	8857	20498	0	15735	23045	4701	0	0	3903	7223	1863	3551	34219	0	4644	22557	0	29838	858	145846	31691	733	10882	0	7698	8162	45671	71261	42225	53583
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28898	161	0	0	6039	5291	270	0	0	0	1178	0	0	0	0	156	0	0	0	0	0	0	0	0	272	0	0	2435	2454	0	6791	0	0	0	0	0	0	9128	2363	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28901	0	5681	0	0	0	0	315	0	0	34067	97360	2774	0	0	0	0	0	0	0	35905	0	7595	23817	40494	37034	15227	0	0	0	0	0	0	5511	42981	0	0	0	0	0	0	0	0	0	0	0	0	0	14150
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28904	0	0	131	41105	0	2480	28102	76906	74452	67904	47322	24939	567	27656	114995	27040	77076	130991	19541	61267	2061	40557	40270	34188	0	0	8447	13568	32931	4440	35840	7026	26006	23464	8498	133249	0	154214	133319	11882	5464	5078	26071	26934	3753	57444	1863	5771
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB28908	0	2219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified|g__GGB29011	0	0	0	0	0	0	0	0	0	7632	0	0	0	0	0	0	23720	3047	0	0	0	0	0	1120	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteria_unclassified|c__CFGB77303|o__OFGB77303|f__FGB77303|g__GGB30141	0	7530	59172	47419	2865	4482	24897	10549	7240	23406	12588	0	0	5997	28357	1538	10537	0	8700	18528	4298	14010	52792	33392	19473	12433	28703	17854	12860	0	6148	3873	6193	4351	2196	35721	0	54370	13156	4271	3860	3496	12979	10919	20166	17454	16281	24426
k__Bacteria|p__Bacteria_unclassified|c__CFGB77359|o__OFGB77359|f__FGB77359|g__GGB28927	101426	23339	61886	4127	3495	0	40187	18737	28430	18108	1285	1641	0	0	0	0	0	0	0	0	307	0	14726	0	45868	74569	73545	5687	10950	2408	21367	1205	4455	10439	0	44148	0	189776	41399	10909	6033	10872	3251	4569	15244	27882	28981	40807
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	1198344	325162	217541	179699	1090537	736756	281336	719004	284745	402455	164813	99646	1065904	189272	76557	366997	231901	463943	500875	485968	690154	266909	168246	151776	0	0	141302	77486	195391	211909	216847	408813	123525	274113	244095	324987	66206	111415	88114	118246	142315	99566	616535	336292	49305	184326	27958	13871
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_unclassified|g__Bacteroidales_unclassified	3984893	5126867	7173328	7738652	10332897	11561643	1063877	309065	892394	710466	549245	505064	8995348	5217709	4712460	2098212	4536635	1635570	2188511	1672798	2138285	963845	1224863	911294	4883907	3077191	10452980	7408688	13304446	16512331	1494977	1220300	1240918	1431676	4589580	2406404	11759961	1331069	1104782	1600999	1953142	2890342	3280346	2990583	4121731	2197152	4095133	3237520
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella	3296728	4169965	3484264	2404088	1594683	1746402	2956463	1084696	2134821	942681	1232469	1339181	471788	560876	715939	1510190	729746	708874	579159	568861	481528	532675	319257	350142	4544373	5026196	1566693	1029589	2322495	1796938	1876808	2068071	905812	1733348	1022153	419977	714867	855569	523736	1119274	1400756	1109511	1476289	1456138	0	1808293	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB14001	118977	313908	377611	180311	229896	98095	247474	58011	24218	121666	75646	77001	52060	42708	53847	63488	55107	259651	150105	263139	379443	151467	120673	170725	247033	266766	1452	6957	12048	0	46060	56088	25102	55720	89709	79794	65	224588	184727	230320	365082	22663	158576	164610	0	130039	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB14013	0	0	0	74753	101831	7008	121702	23797	89418	66390	56703	26030	15348	19785	25150	364501	133877	75936	85221	126429	181296	0	0	0	0	0	0	17077	28511	96906	181354	149833	72164	314328	99644	60158	1350	0	0	0	0	50783	106541	207598	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB14022	156717	258604	286751	330472	247218	322158	288677	100454	61581	142451	147181	118601	105754	399492	224432	481214	704948	906853	298235	261130	135868	602677	326372	476633	1903016	1453555	460455	307247	921185	27490	165469	38114	72087	145169	545264	277732	0	680050	300621	802007	1176430	160396	482740	365423	0	1460043	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB1503	498106	597225	720201	900488	1687670	334850	963868	131228	358509	403586	632962	414301	39266	9619	26635	781066	1441730	778996	1181888	997986	651530	652119	629579	753936	1131445	1050224	903990	287003	115084	8252	1004892	939496	354021	691987	962232	800155	8196	511716	211696	344920	513226	369791	1065753	1319504	0	726960	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB24132	369678	366926	222865	698540	928722	345970	504764	220018	290749	299411	429301	182958	222726	495979	611429	1749711	513701	872061	432720	775403	1001673	623955	551782	536572	745190	371046	269355	180401	278679	279135	423523	296951	273498	405365	205559	192788	138161	317429	214395	366752	546605	256292	338809	577065	0	167166	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB24148	787920	669696	894165	1748739	175151	728069	2660791	1331125	1573597	1464456	2169590	1543062	335322	330933	575619	2299645	1748179	2721570	1696484	2323162	1372284	2250674	1874296	2051149	2177696	2343015	877558	900301	2167012	2685402	3078298	1697610	1518246	1772928	2341434	1513659	506605	2245713	721647	1157444	964642	810734	1709053	2247409	0	2820941	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27851	1716033	970315	0	2722352	281893	2622714	1870549	287892	2683056	854417	1485254	2366258	13763	2645	6265	0	0	0	131613	776445	932278	74318	92417	107935	2854284	1194471	1348513	1341464	1619208	2139173	2167677	1744043	2096881	2701384	2297228	1307989	2740602	0	0	0	0	1243083	643008	1056946	4032990	110698	4002721	3273613
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27873	154289	79800	21008	257563	142599	110373	132981	40608	65188	80524	105866	45358	89274	360391	237520	337441	166150	202847	242607	217426	312573	143767	93608	72145	0	0	209960	179022	483338	366394	161238	104226	90381	152848	191924	115097	305712	65922	37686	73748	108223	99014	84340	126599	0	117610	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27876	118731	169553	302557	948410	151472	7985	2187967	1628220	2037996	3129193	2162399	1872538	135842	316376	570989	877129	665142	1434166	4077408	5173825	5861208	2083068	3152441	2781170	6514577	5750523	113043	162878	85634	110407	2310689	3555799	1400620	2444210	563449	350477	56419	328013	248564	344460	732528	1513214	1809233	2174768	714708	785820	299835	149035
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4334072	0	3900948	2086641
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27893	44016	42679	63694	191670	62098	100101	221605	161626	59811	77166	72096	80716	14579	58291	70802	130044	126453	203760	101897	122196	115749	33743	18253	27108	285260	256883	143066	88093	227885	86540	155292	164846	89861	143904	158510	87352	1489	72926	83041	131510	141782	67750	156938	243648	0	80520	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27898	44521	793372	1999420	5095509	676594	995892	4719572	1243981	1246811	2364076	2028703	2003721	1669804	1034927	2440976	3364113	1614336	2015061	1388036	2016555	2460979	1471957	1147211	1203127	0	0	5658219	3977193	9470076	3149559	2192542	2407638	872367	2212864	2947512	1538385	2928494	2153363	1577933	2650276	2717398	1725080	4023634	4066092	0	2361487	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27914	108761	104282	154982	258064	51414	93201	180326	100516	110943	177873	155696	84434	7136	109108	172624	346768	251908	285208	146206	333262	221689	204399	176207	139580	0	0	202891	144527	163462	50977	157517	143834	135090	179136	141831	78959	2619	85608	39707	85535	212634	109156	125110	140924	0	85136	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB27918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886041	0	859557	362036
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB46159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85560	61985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4813704	0	4752777	2663538
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__GGB70852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10458825	0	10164246	5583878
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculaceae_unclassified	2456959	2525875	2285139	3173785	2499925	1734458	1932708	1291135	1177613	1433651	1358969	1036087	646341	1876607	2910193	6135048	4326036	4487326	2202668	2222491	2346944	2983677	2082082	2754807	2587194	5380275	2890309	1895314	2912656	1728991	1899444	4527660	1250458	2035652	1898435	1181984	757253	1540202	684013	1371982	1671132	1366737	2386728	2351588	48357	3339328	50015	37572
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum	1096462	2163587	1255239	4557670	741566	3202791	3484189	625768	1826621	787807	1249414	1204979	729267	2725011	3298061	1810733	3060025	948286	1868525	1409375	1377110	906781	900762	1031502	3575058	2044060	5592013	3122004	5907248	1592910	2381443	1858700	1445009	2517302	1426638	992654	1062362	1824349	1100417	2104609	3378929	1922102	1634913	1843796	0	1301123	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Paramuribaculum	52096	1395093	1643737	2605925	206231	512249	2413634	1625616	916843	1369282	1694452	1837280	7203	504051	138571	2023	207106	647578	1180915	1348261	804039	302879	278398	223443	2993317	1810741	1603710	1521249	2984485	1870348	1866683	816077	930038	2102047	1971335	997079	1066023	1059766	557988	1059114	1358802	1097439	2011866	3536886	2454747	2166684	2304729	1397377
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	1766699	1249297	3477507	1727258	2769944	966783	425801	319703	742980	636373	325876	465126	5830053	2272525	3723307	2510293	2042317	1136323	1309615	1463953	3453592	2389900	1430384	1126248	0	0	3275179	2102116	3209210	1819179	388152	611836	345263	703430	906567	442611	4015677	239120	417216	308672	348875	771111	512442	534210	0	231452	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	4890	171479	216016	683067	16305	15685	1129471	2112452	64759	152431	44520	75480	0	0	0	2462331	10634	68609	61969	119026	102061	380142	362987	44717	0	0	101340	135869	200986	64597	135393	14176	22202	15119	28654	112562	15032	1310384	197418	360548	789394	44109	1024635	502456	1523631	86847	1139731	456853
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB1690	0	0	0	328	0	0	0	0	0	0	0	1963	36084	10060	3722	284131	81636	91116	0	0	0	21509	0	23517	0	0	0	0	0	0	0	0	0	0	0	0	0	55035	33405	32928	217770	0	0	0	0	33803	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB27778	10556	38362	1325361	640922	0	47941	3174714	4972088	997386	3113859	1109401	723055	0	0	0	1562844	48253	764389	237606	444863	174738	455391	1508647	111618	523465	2916746	238539	93002	245019	875456	2318321	2413839	860608	1091582	723169	1358234	3290	1881295	701687	1039163	840294	373932	2976356	2383215	0	1406642	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	7623	135915	224281	111529	57617	128536	23343	19136	19861	11781	8451	5312	218294	256969	209793	190670	71519	94159	21627	11890	57470	35583	14234	16220	0	0	215783	142239	133623	55812	11179	27503	6964	13448	7352	31106	0	7451	5013	7462	19257	45426	24866	24726	0	14084	0	0
k__Bacteria|p__Bacteroidota|c__CFGB37573|o__OFGB37573|f__FGB37573|g__GGB27861	0	2846	8618	19455	0	81536	21293	11443	484	12289	532	7400	0	2780	14212	0	3980	45662	5536	8620	2192	2279	9398	6811	0	0	10366	1614	4811	0	3451	3173	512	1241	337	0	0	6377	3343	2441	8241	6007	9260	8838	0	12660	0	0
k__Bacteria|p__Bacteroidota|c__CFGB50354|o__OFGB50354|f__FGB50354|g__GGB23844	748333	179841	2407095	95426	512548	42901	278982	126964	48385	400794	101012	74461	601443	101775	219192	699526	299567	476392	222282	299691	281626	601660	100659	180734	0	0	430498	105565	205100	435066	77665	103232	43770	60196	193193	99077	1556711	94219	55952	29003	71915	91204	396263	195095	0	234544	0	0
k__Bacteria|p__Bacteroidota|c__CFGB9388|o__OFGB9388|f__FGB9388|g__GGB27866	163058	63994	50823	30622	14554	15217	119875	63326	17870	67975	42529	55865	0	2613	7923	12155	25934	67104	53144	70881	27524	65053	26495	27833	0	0	46549	36977	39231	66448	43185	1948	20461	32442	97891	26039	93273	42476	13266	23192	31209	21654	63649	46431	0	181727	0	0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB10197|o__OFGB10197|f__FGB10197|g__GGB31109	0	0	0	0	0	0	7753	555	1071	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	289	0	0	0	0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB10197|o__OFGB10197|f__FGB10197|g__GGB31110	0	0	0	0	0	0	4510	1154	2551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB27476	0	0	547	3336	0	0	118	0	485	0	0	0	0	0	0	0	1720	1898	835	911	111	77	743	39	0	0	0	116	212	1407	642	0	127	0	0	0	0	766	0	0	0	0	0	0	0	1471	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB27480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB47462	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB73364	3402	461	2140	2516	0	830	4169	3543	1108	7290	899	720	985	6433	5803	13808	863	1992	6679	12329	2111	12004	9375	5032	0	0	5184	3127	3753	2167	2346	1194	189	631	635	291	451	1662	490	660	661	1176	4293	2348	0	1793	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB75725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1087	697	417	0	0	0	281	809	175	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	12	0	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318|o__OFGB9318|f__FGB9318|g__GGB75727	0	0	194	0	0	0	1372	0	467	200	30	333	70	0	0	41	0	0	0	200	0	31	11248	9008	0	899	1943	0	564	0	0	0	0	0	0	190	0	0	0	0	0	505	0	0	0	1457	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Jeotgalicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728	2517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Mammaliicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	115454	164200	53445	45970	9214	2494	19670	14999	9512	9835	14174	130916	13505	2817	11005	60868	465139	428619	124813	26890	9146	449066	773178	1064615	1790	29396	52636	15315	6609	12506	131385	15437	19044	10523	26581	18278	2803	2422	0	5750	2929	12619	15369	23077	18961	186614	163673	39545
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus	19802	33343	29448	14197	1828	100	2140	1950	7740	9493	5218	3694	17789	4866	23830	15350	15645	52747	5492	5947	2547	14324	30818	18296	0	0	38217	5314	7039	1518	23994	5631	5005	5420	15912	15768	11161	8810	2331	5437	5200	6131	10493	11499	0	44829	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus	9766	16545	5424	5915	350	3331	7189	2186	369	1309	935	12490	1921	0	189	6558	15923	98976	10611	4346	1309	17535	42660	39910	0	0	0	1183	7287	9655	8490	3366	553	0	3412	3137	0	0	0	0	0	374	2030	1729	0	11563	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	783	4375	413	40	0	607	463	439	0	0	0	0	0	0	0	0	0	0	1747	69	0	0	0	0	0	0	0	0	0	1509	0	0
k__Bacteria|p__Firmicutes|c__CFGB10213|o__OFGB10213|f__FGB10213|g__GGB31179	0	0	0	0	0	0	0	0	0	0	0	0	1731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10289|o__OFGB10289|f__FGB10289|g__GGB31762	0	0	0	0	0	0	203	612	0	926	0	0	11224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	1595	76	416	0	89	0	0	976	0	0	0	0	0	13	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10290|o__OFGB10290|f__FGB10290|g__GGB31438	0	0	0	2098	0	0	3304	3159	0	914	12148	6810	2082	1951	3127	10061	0	2835	3156	0	4387	30007	26212	14515	13280	18	1244	760	207	2284	3160	3068	382	0	2079	0	141	817	1105	0	2190	0	4136	3631	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299|f__FGB10299|g__GGB31439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1212	0
k__Bacteria|p__Firmicutes|c__CFGB10299|o__OFGB10299|f__FGB10299|g__GGB47127	0	227	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0
k__Bacteria|p__Firmicutes|c__CFGB10349|o__OFGB10349|f__FGB10349|g__GGB31853	0	0	0	0	0	0	1638	60	1486	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10667|o__OFGB10667|f__FGB10667|g__GGB32371	0	0	0	0	0	0	3249	2681	0	683	7803	2137	1789	0	916	0	0	0	4804	6145	5791	3535	56201	8019	0	0	0	0	0	0	658	0	0	0	0	4856	0	0	0	0	0	0	0	0	5486	0	14349	15048
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31793	0	0	0	0	0	0	0	0	0	0	0	0	710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31823	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3586	2076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4322	0	84	0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31838	0	4375	0	1082	0	4712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2189	5414	8997	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB31841	990	0	0	0	1270	2107	0	0	0	0	0	0	142975	41471	6393	286	0	0	0	0	0	0	0	0	1847	0	2635	2134	0	44523	0	0	0	0	0	0	0	0	0	0	4053	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2833|o__OFGB2833|f__FGB2833|g__GGB28456	0	0	1534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	87
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28399	0	0	0	0	0	0	0	0	0	0	8958	0	0	0	0	0	0	0	0	4590	8122	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	482	674
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28401	0	407	2225	697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1241	0	0	0	0	0	0	3087	0	115	4092	0	0	0	0	0	0	3594	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28404	1534	0	0	2003	0	0	10497	453	0	11004	5884	1720	0	0	0	0	0	0	0	0	0	0	0	0	1662	1904	0	1776	1988	2203	679	0	0	3137	0	6394	0	4953	1304	1843	1229	687	0	0	0	2806	0	0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28407	0	1534	0	23165	143258	0	133401	207384	105674	104771	73333	18854	0	0	0	11075	54587	70436	14415	220739	126848	37044	120447	65208	29363	90922	32832	9479	0	8020	17391	43918	44217	28786	76702	63705	0	236258	15342	16488	10412	19275	129539	44360	0	19636	27128	62178
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28409	0	234	9212	2592	0	0	5865	5746	2315	5467	3072	1787	0	0	639	0	1921	2304	0	1245	1234	0	0	2512	0	0	3273	4220	1792	3683	276	693	2729	734	5990	1641	1826	399	0	0	272	1543	513	114	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2281	0	0	0	0	0	1177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1375	2350	0	219	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28418	1833	7180	2446	1844	0	522	2126	8196	1605	7693	728	4568	0	0	5830	0	0	0	32	0	0	0	0	0	424	1092	17369	2330	4454	2288	1169	822	1085	192	430	226	483	3131	1517	510	753	2200	603	522	2691	0	550	1651
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28419	89	2475	60062	16017	6138	0	23846	59113	0	0	0	0	2452	0	0	349	521	1495	0	0	0	2988	96	368	33328	10169	26651	12274	8143	1823	0	0	0	0	2307	0	7410	0	0	0	0	3057	840	838	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28420	0	0	0	241	0	0	0	0	0	1517	391	2538	90	418	7939	5706	875	0	4617	11980	5116	736	0	0	0	0	0	0	268	0	0	0	0	0	0	9016	0	374	6457	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2838|o__OFGB2838|f__FGB2838|g__GGB28422	0	0	0	741	0	0	0	0	0	3562	0	0	511	0	0	0	0	159	1469	550	387	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0
