feature	antibiotic.efflux	antibiotic.target.alteration	antibiotic.target.protection	antibiotic.target.replacement	antibiotic.inactivation
am357	17.856554188467	14.3036196720427	19.5019248115767	14.3036196720427	11.5895278449108
am358	17.1169332934522	13.2048256145233	19.7103859764121	13.3036196720427	11.5895278449108
am359	17.3639268767298	13.2048256145233	19.665044907155	13.3036196720427	11.5895278449108
am360	15.6946890533619	16.9830601688484	19.6298019402437	16.9830601688484	12.5895278449108
am361	15.9251169859575	16.9583775084624	19.6162610518045	16.2550977340805	12.7216698976846
am362	14.8532331219392	18.6848080483391	19.0296241998046	18.6482696004803	13.7568925144743
bm357	16.9352392277412	13.2048256145233	19.7383983483856	13.3036196720427	11.5895278449108
bm358	15.7642836323104	13.2048256145233	19.8061058369351	13.3036196720427	14.7540898713941
bm359	16.5527394106654	13.2048256145233	19.7630914950326	13.3036196720427	13.7819606014911
bm360	14.7521555756051	13.2048256145233	19.8627858550396	13.3036196720427	14.2108366153889
bm361	14.8830442873373	13.2048256145233	19.8396806350771	13.3036196720427	14.9425840973766
bm362	16.4716277546566	14.2048256145233	19.7638342470473	13.3036196720427	11.5895278449108
